Kms_Driven,modelYear,centralVariantId,variantName,price,Mileage,Engine_Displacement,Max Power,Max Torque,No of Cylinder,BoreX Stroke,Length,Width,Height,Wheel Base,Front Tread,Rear Tread,Kerb Weight,Gross Weight,Turning Radius,Front Brake Type,Rear Brake Type,Alloy Wheel Size,No Door Numbers,Ground Clearance Unladen,Cargo Volumn,Compression Ratio,Acceleration,Top Speed,city,bt,oem,model,Registration Year,Insurance Validity,Fuel Type,Seating_Capacity,RTO,Ownership,Transmission,Color,Engine Type,Value Configuration,Fuel Suppy System,Turbo Charger,Super Charger,Gear Box,Drive Type,Steering Type,Tyre Type
17,2020,7689,69.81260057098365,1214000,19.264094886860857,1497,113.18,143.8,4.0,72.6523747368421,4300.0,1790.0,1635.0,2610.0,1458.3461457676958,1459.0579069277742,1360.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,0,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,7,9,73,125,5,4,3,416,1,1,138,75,3,56,0,0,37,12,4,23
20,2018,6718,1.05,438999,27.28,1047,69.0,140.0,3.0,75.0,3746.0,1647.0,1535.0,2400.0,1400.0,1420.0,1080.0,1663.445324881141,4.9,236.0,185.39999999999998,14,5.0,175.14117647058825,242.0,16.0,16.29,150.0,5,2,29,273,16,4,1,3,409,1,1,86,351,3,6,3,0,8,12,4,13
9,2021,7094,69.81260057098365,753000,20.7,1197,81.86,113.8,4.0,72.6523747368421,3805.0,1680.0,1520.0,2450.0,1458.3461457676958,1459.0579069277742,1060.0,1663.445324881141,6.036145117945655,236.0,185.39999999999998,15,5.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,175.7024856765095,5,2,9,78,161,4,4,3,414,1,1,9,35,3,49,0,0,16,12,1,23
65,2016,1168,69.81260057098365,362000,18.0,1198,86.7,109.0,4.0,72.6523747368421,3990.0,1680.0,1505.0,2405.0,1458.3461457676958,1459.0579069277742,950.0,1663.445324881141,4.5,236.0,185.39999999999998,0,4.0,175.14117647058825,400.0,12.667795612627074,15.0,160.0,5,8,8,59,139,2,4,3,409,3,1,86,476,8,49,0,0,8,12,4,26
65,2014,3171,1.6,300000,20.5,1598,105.0,250.0,4.0,72.6523747368421,4386.0,1699.0,1466.0,2552.0,1458.3461457676958,1459.0579069277742,1205.0,1757.0,5.3,236.0,185.39999999999998,14,4.0,175.14117647058825,460.0,12.667795612627074,12.854019118869493,175.7024856765095,5,8,28,249,137,4,1,3,409,1,1,50,400,3,23,3,0,8,12,4,26
7,2020,5906,1.0,389000,22.5,999,67.0,91.0,3.0,72.6523747368421,3429.0,1560.0,1541.0,2348.0,1458.3461457676958,1459.0579069277742,750.0,1663.445324881141,4.7,236.0,185.39999999999998,0,5.0,185.0,222.0,12.667795612627074,12.854019118869493,175.7024856765095,5,2,4,39,143,2,4,3,413,3,1,116,22,3,53,0,0,16,1,4,26
1,2010,1709,69.81260057098365,114999,19.264094886860857,1086,62.0,96.1,4.0,66.0,3565.0,1525.0,1590.0,2380.0,1315.0,1300.0,854.0,1663.445324881141,4.4,236.0,185.39999999999998,13,5.0,175.14117647058825,218.0,8.9,16.2,141.0,5,2,9,82,8,4,4,3,419,2,1,8,278,8,49,0,0,8,12,4,26
40,2011,205,320.0,865000,16.07,1995,181.0,380.0,4.0,84.0,4520.0,1817.0,1421.0,2760.0,1460.0,1454.0,1455.0,1985.0,6.036145117945655,236.0,185.39999999999998,16,4.0,175.14117647058825,460.0,16.0,8.3,216.0,5,8,1,14,116,2,1,3,420,1,0,110,278,3,4,3,0,21,12,4,26
60,2011,764,69.81260057098365,185000,14.6,1368,88.7,115.0,4.0,72.6523747368421,4560.0,1730.0,1487.0,2603.0,1458.3461457676958,1459.0579069277742,1240.0,1663.445324881141,5.4,236.0,185.39999999999998,15,4.0,175.14117647058825,361.810963801579,12.667795612627074,12.854019118869493,165.0,5,8,5,43,9,4,4,3,393,3,1,55,253,3,53,0,0,15,12,4,26
19,2019,250,520.0,3950000,20.37,1995,187.74,400.0,4.0,72.6523747368421,4936.0,2126.0,1466.0,2975.0,1605.0,1630.0,1660.0,1663.445324881141,5.6,236.0,185.39999999999998,18,4.0,175.14117647058825,520.0,12.667795612627074,7.5,235.0,5,8,1,17,35,2,1,3,414,1,0,57,414,3,6,2,0,78,16,4,25
